date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2021-06-29 22:37:28+00:00,1410004517563691008,kimls01,Tender,,한국,"마약 밀수, 16세 연하 여성과 투약 혐의… 박지원 국정원장 사위, 재판 중 
미국서 엑스터시·대마 들여와 강남 모텔서 투약… 상대 여성은 4년 전에도 마약 유죄
삼성전자 연구소 상무로 재직… 박지원 원장 ""일절 대응 말라"" 지시한 것으로 알려져

https://t.co/YSoLNoC9YG #뉴데일리",0,2,,['뉴데일리'],,Twitter Web App
2021-06-29 16:56:41+00:00,1409918757590372354,seogaingcherl,kergh∫jau,,,"국내에서 그는 7월 서울 강남구 역삼동 한 모텔에서 지인과 함께 엑스터시 한 알을 쪼개서 나눠먹고, 대마초를 흡입했다. 그 다음달에도 A씨는 호텔에서 같은 지인과 대마초를 흡입했다. 서울중앙지검은 이 같은 혐의로 A씨를 작년 11월 기소했고, 현재 재판이 진행 중이다.",0,0,,,,Twitter for Android
2021-06-29 16:56:41+00:00,1409918756361359364,seogaingcherl,kergh∫jau,,,"박지원 국정원장의 사위 A씨가 마약을 국내에 들여와 지인과 투약한 혐의로 재판을 받고 있는 것으로 확인됐다.

29일 법조계와 재계 등에 따르면, A씨는 재작년 5월 미국 시애틀에서 가방에 엑스터시 한 알과 대마초를 숨긴 상태로 비행기를 타고 한국으로 들어왔다.",0,0,,,,Twitter for Android
2021-06-29 15:58:58+00:00,1409904233768394753,ccr7881,마하수리,,,'美서 엑스터시·대마 밀수입' 박지원 사위 기소(종합)https://t.co/Gq9p1theWO,0,0,,,,Twitter Web App
2021-06-29 14:31:00+00:00,1409882096022269958,Eunyoun67690488,Eunyoung.,,,"사위가 삼성전자 임원에 엑스터시?
ㅋㅋ 

박지원 사위 ‘마약’ 혐의 재판 중···근무지 삼성전자엔 '쉬쉬' (출처 : 경향신문 | 네이버 뉴스) https://t.co/IjbOWTs3Ya",0,0,,,,Twitter for Android
2021-06-29 14:00:57+00:00,1409874532974968837,freen102,일~도,,충남/,"동병상련 이던가.
김무성 사위.박지원 사위.
마약.마약.마약,!

박지원 사위, 미국서 엑스터시·대마 밀수입해 투약 혐의 기소 (출처 : 매일신문 | 네이버 뉴스) https://t.co/jAbu6OZ6TT",3,1,,,,Twitter for Android
2021-06-29 13:57:20+00:00,1409873621615525890,unta_rkgk,할리갈리 챔피언,,20↑ / 本垢: @untabunta,"@mini07351 엑스터시 국내판권 번역 다양한거 너무 웃겨요ㅠㅠㅠㅠㅠㅠㅜㅠ엑스터시, 기분 좋은데, 완벽해, 황홀하군 그리고 &gt;&gt;째진다&lt;&lt;",1,0,,,,Twitter Web App
2021-06-29 13:31:55+00:00,1409867227051040768,cb_mackerel,등어어어어어🐟,,당신의 마음속,"엑스터시 - 미친뜻은알고쓰니 
기분 째진다 - 어이구중딩아",1,0,,,,Twitter for Android
2021-06-29 12:23:36+00:00,1409850034946854920,CAUTION23943992,CAUTION!,,"당신은 설령 혼자라도, 별을 찾아가겠죠 ","엑스터시로번역되기
기분째진다되기",0,0,,,,Twitter for Android
2021-06-29 12:04:04+00:00,1409845117578465287,PVZZ3K72Dc7jg8v,대동방동,,,"#박지원 #국정원장 #박지원사위 #엑스터시 #대마 #마약 #밀반입 #투약 #기소 #삼성전자임원 #정상출근
박지원 국정원장 사위 미국서 엑스터시, 대마 밀반입 투약 혐의로 기소 '삼성전자 상무인 사위 최근까지 정상 출근'
https://t.co/Yn74sFPg0Y",1,0,,"['박지원', '국정원장', '박지원사위', '엑스터시', '대마', '마약', '밀반입', '투약', '기소', '삼성전자임원', '정상출근']",,Twitter Web App
