date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2022-07-15 06:21:14+00:00,1.54783E+18,H1kUodcLjGk8bjR,심상봉,,,여성 최음제 판매㎲ https://t.co/LgpTEjmz8x ╁씨엘팜 비닉스 필름 구입 사이트 ┗ : https://t.co/xAHHMdSSo7,0,0,,,,Twitter Web App
2022-09-03 04:05:45+00:00,1.56591E+18,hth0893,은정,,NULL,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

아이스효능직빵 삥두 떨파는곳소개 
제주아이스 정품아이스파는곳소개 떨판매

파티약 떨파는곳 엑스터시 
떨삽니다 최음제 

엑스터시 액상 
대마액상 떨액상 차가운술 

#아이스파는곳
엑스터시 https://t.co/gLEd3ZmCxM",0,0,,['아이스파는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fbs-Y5KUYAAo08P?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbs-Y5KUYAAo08P?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-08 09:07:03+00:00,1.5678E+18,ksj3318,김선진,,korea,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

ㅂㄷ 한작대기 BD주사기

대마 떨 최음제

 작대기 샘플20만

#대마
#떨구매 https://t.co/0MjoUkoZuW",0,0,,"['대마', '떨구매']","[Photo(previewUrl='https://pbs.twimg.com/media/FcHzTjTagAIbAbU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcHzTjTagAIbAbU?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-08 11:39:41+00:00,1.56784E+18,wlsgur0077,주진혁,,,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

#대마초

반작대기 ㅈㄷㄱㅇㄹ 반작대기

최음제 떨느낌 떨

샘플20만 대마 떨

#아이스작대기 https://t.co/K78Dyk6lUZ",0,0,,"['대마초', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FcIWPbZaMAA3HD5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcIWPbZaMAA3HD5?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-14 01:40:32+00:00,1.56986E+18,paeceknight,김찬희,,김포,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

부산아이스 마약파는곳 아이스퀄리티 
허브효능 차가운술파는곳 아이스작대기

엑스터시 떨후기 떨느낌 
클럽약 최음제 

대마액상 액상 
액상 도리도리 대마 

#빙두
#사끼 https://t.co/UBbGDU0LQv",0,0,,"['빙두', '사끼']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1569863582384549888/pu/img/gjBgp7CYKs7Njxv_.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1569863582384549888/pu/vid/320x368/LvmyMWeHCHmDzzPi.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1569863582384549888/pu/pl/3k6vJl5YHzaA3LcW.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1569863582384549888/pu/vid/416x480/-zRKOF4AZcxWkV4A.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=30.748, views=29, altText=None)]",Twitter Web App
2022-09-21 12:40:36+00:00,1.57257E+18,soonraeja,순례자,,,"☎ 텔 레 그 램 J R i c e 1 ?

♨아이스작대기 사끼?

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

삥두인잭하는법

최음제 하이든 
강남파티

차가운술 아이스술 아이스팝니다 

#작대기 https://t.co/ITMvqPhBsF",0,0,,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FdLg2KPakAEi50f?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdLg2KPakAEi50f?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-22 11:46:07+00:00,1.57292E+18,Vsundong,Seon Joo Dong,,"37.374298,126.9400083","텔 레 i c e p i c k s

? 아이스픽2 ♠
샘플 20만 아이스작대기

클럽캔디 빙두팜 아이스사용후기
부부만남

떨 케타민 떨느낌
 최음제 강남파티

차가운술 작대기 떨
아이스샘플20만 차가운술

#작대기 https://t.co/4S3DtN0iGM",0,0,,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FdQd9xmakAAtQCq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdQd9xmakAAtQCq?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-23 11:18:44+00:00,1.57327E+18,baby26th,김물범,,,"? 텔 레 i c e m a n k ?
아이스작대기 샘플0.2G 20만
사칭조심

캔디케이 브액

캔디케이 브액
대마
차가운술

떨후기 강남파티 떨 
대마

아이스작대기 작대기팝니다 최음제 
대마

샤부 빠른구매

#아이스
#사끼 https://t.co/Psxsca5c12",0,0,,"['아이스', '사끼']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1573270603733139456/pu/img/vdjOCvfD-FOcwpQn.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1573270603733139456/pu/pl/8jUh_6JpviwTcc1N.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1573270603733139456/pu/vid/244x432/8ta2b6R_SVsYfdd8.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=6.933, views=3, altText=None)]",Twitter Web App
2022-09-25 02:13:19+00:00,1.57386E+18,FaDndDHMHGQAFED,박찬호,,,"? 텔 레 그 램 J R i c e 1 ♨

?아이스작대기 무한?

아이스술 ㅇㅇㅅ팝니다 
아이스드랍 캔디 아이스1G 하이든

최음제 클럽파티 떨후기 

 떨구입 클럽약 

차가운술 아이스팝니다 아이스드랍

 아이스팝니다 빙두

#작대기아이스 https://t.co/VE0pQbFK17",0,0,,['작대기아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fdd3oqnaUAAT4zu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fdd3oqnaUAAT4zu?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-27 09:45:56+00:00,1.5747E+18,dudet00,김민정,,,"뽕라덴 복귀♣

텔레 binladen11

전국 실시간 좌표  ?
전국 드랍   ?

샘플 20만원 시작~  ?

아이스작대기

떨판매

부산아이스 

대마 아이스팝니다 아이스팝니다
브액 대마 

떨삽니다 케이 떨판매

차가운술 사티바
허브액상 최음제 

#캔디
#아이스작대기 https://t.co/YQ4hP7XFX6",0,0,,"['캔디', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FdpyaFTUUAAKy8v?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdpyaFTUUAAKy8v?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-28 08:21:09+00:00,1.57504E+18,hinscs1,Vocal IA,,인천,"? 텔 레 i c e m a n k ☎
샘플0.2G 20만
사칭조심

아이스작대기  아이스팝니다
케타민
액상 
샘플20만

케타민
액상 허브
작대기
케타민
액상

담배 떨 담배 
최음제

차가운술 작대기 엑스터시 
떨팝니다

한작대기 정품아이스파는곳소개

#안전딜러
#빙두팝니다 https://t.co/fB1SbIJfd6",0,0,,"['안전딜러', '빙두팝니다']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1575037863326257154/pu/img/bVHNxOzDD1oQJgsO.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1575037863326257154/pu/vid/236x432/FGnM_l5pp6E2A6NI.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1575037863326257154/pu/pl/FBBzqkQxt3QTgsR2.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=17.0, views=12, altText=None)]",Twitter Web App
