date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-17 21:10:16+00:00,1.63684E+18,gomezmarvin87,Marvin Gomez,,,"♥ 텔레채널검색하세요 p i n k m a n 1 1 4 
  
마리화나파는곳  
강동신속배송  
강서안전좌표  
서울프로포폴  
창원물뽕  
몰리  
#케이구하는곳 https://t.co/NA7GN2qdbd",0,0,130,['케이구하는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/Frc25YCaEAAwjdN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frc25YCaEAAwjdN?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-16 15:13:03+00:00,1.63639E+18,ErinnBillie,Billie Erinn,,,"★ 텔레채널검색 p i n k m a n 1 1 4 0 
  
광주보안드랍  
몰리  
서울합성떨  
아이스작대기  
충남몰리  
성남드라퍼구인  
  
#대전밀크케이 https://t.co/LDFpGoqNlK",0,0,6,['대전밀크케이'],"[Photo(previewUrl='https://pbs.twimg.com/media/FrWbiMzaQAIPBNP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrWbiMzaQAIPBNP?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-16 11:59:25+00:00,1.63634E+18,GlynisLurline,파티마광주보안딜러 펜타닐 시원한술(정글주스팔아요),,,"♧ ㅌㄹㄱㄹ문의 : p i n k m a n 1 1 4 
삥두  
짝대기  
환각버섯판매  
서울마취제  
몰리  
부산옥시코돈  
#충청도머쉬룸 https://t.co/XfdpNYDEF6",0,0,114,['충청도머쉬룸'],"[Photo(previewUrl='https://pbs.twimg.com/media/FrVvNvFaEAEsu8D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrVvNvFaEAEsu8D?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-16 07:08:22+00:00,1.63626E+18,AnderaCandace,파티마대전남좌표딜암페타민 경기도드랍퍼구인 케이밀크구입(케타민원석),,,"● ㅌㄹㄱㄹ문의 : p i n k m a n 1 1 4 
몰리  
서울수면유도제  
북한산술  
충북드랍퍼  
정글주스구하는곳  
파퍼  
#강북크리스탈 https://t.co/AaIBzC4BQv",0,0,40,['강북크리스탈'],"[Photo(previewUrl='https://pbs.twimg.com/media/FrUsnZfacAAfZ1k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrUsnZfacAAfZ1k?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-13 18:19:25+00:00,1.63534E+18,RenitaRacheal,Racheal Renita,,,"#트라마돌  
♠ 텔레그램24시상담 : p i n k m a n 1 1 4 
  
전국삥두  
  
진통제구매  
  
서울환각제  
  
강원도몰리  
  
하선모집  
  
케타민하는방법 https://t.co/vhrMroxLdQ",0,0,11,['트라마돌'],"[Photo(previewUrl='https://pbs.twimg.com/media/FrHpbINaMAASWdH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrHpbINaMAASWdH?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-28 22:12:38+00:00,1.63069E+18,saudrap855,saudra Oziskender,,,"☎ 텔 레 그 램 - p i n k m a n 114 
  
허브도매  
대전몰리  
충청도인증업자  
강서우유주사  
서울펜타닐  
대전엑스터시  
  
#수면제효과 https://t.co/P4rHYWqaxN",0,0,72,['수면제효과'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqFiJOJagAE3XIH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqFiJOJagAE3XIH?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-28 18:50:10+00:00,1.63064E+18,yopiariztian,yopi,,,"▶ 텔 레 그 램 - p i n k m a n 114 
  
용인몰리  
광주신속배송  
경북안전딜러  
서울러쉬  
디스펜서리  
허브액상  
  
#마약하는법 https://t.co/aT6pN9HuGR",0,0,23,['마약하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqEzzXcaUAAjDnW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEzzXcaUAAjDnW?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-27 23:24:04+00:00,1.63035E+18,renz_jet,raizin macalapan,,,"◈ 텔레문의 - p i n k m a n 114 
  
#충청도물뽕  
대전LSD  
  
서울캔디  
  
작대기술구입하는방법  
  
몰리팝니다  
  
차가운술구입방법  
  
세종캔디 https://t.co/duM6RVTIQo",0,0,30,['충청도물뽕'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqAo5XqaYAA9n2S?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqAo5XqaYAA9n2S?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-22 17:15:10+00:00,1.61721E+18,lorinnfjao,고기효과 헤로인 샘플(트라마돌하는법),,,"○ 24시간 상담대기 BRN7008 
서울 경기 드랍퍼 구함 &lt;&lt;텔레문의&gt;&gt;   
  
몰리 하이드로몰핀 
  
고퀄아이스 원석케이구하는법 
  
보안좌표  
#코데인팝니다  
#케타민원석 https://t.co/nhdTYktyza",0,0,27,"['코데인팝니다', '케타민원석']","[Photo(previewUrl='https://pbs.twimg.com/media/FnF7O4taEAMPBXZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FnF7O4taEAMPBXZ?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-21 21:29:47+00:00,1.61691E+18,lorinnfjao,고기효과 헤로인 샘플(트라마돌하는법),,,"☏ ▶Riven_420◀ ㅌㄹㄱㄹ 리븐공식채널 
인천 품절, 서울 대구 부산 가능 ☏ 
  
버드 떨 몰리효과 
  
weed 보안드랍 파퍼 
  
#파퍼사는법 https://t.co/OySSZaJMpN",0,0,69,['파퍼사는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FnBr5kaaMAA7L0k?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FnBr5kaaMAA7L0k?format=png&name=orig', altText=None)]",Twitter Web App
2023-01-21 18:28:31+00:00,1.61687E+18,mafeirons16,Molly하는법 펜타닐(합성대마초팔아요),,,"★ ▶Riven_420◀ ㅌㄹㄱㄹ 리븐공식채널 
인천 품절, 서울 대구 부산 가능 ☎ 
  
헤로인팝니다 경기도인증업자 합성떨 
  
후리 필로폰 몰리구매하는법 
  
#삥두 https://t.co/L06EggfQ6m",0,0,121,['삥두'],"[Photo(previewUrl='https://pbs.twimg.com/media/FnBCZHgakAExL4T?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FnBCZHgakAExL4T?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-12 06:20:20+00:00,1.61342E+18,qkrgudah03,두메,,,"☎ 텔 레 그 램 J R i c e 1 ☢

☠아이스작대기 사끼✏

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

술사는곳서울아이스

떨 파티약 
클럽약

LSD 빙두 샘플20만 https://t.co/n2w7XPOccm",0,0,16,,"[Photo(previewUrl='https://pbs.twimg.com/media/FmQFdrQakAE2Ujc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmQFdrQakAE2Ujc?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-07 05:18:19+00:00,1.61159E+18,lce_perfect,작대기💉,,대한민국 강남구,차가운술술파트너도리도리대마허브사티바인디카하이브리드코카인케타민아이스작대기경기도아이스경기도작대기서울작대기서울아이스부산아이스부산작대기후리인천아이스인천작대기수원아이스수원작대기얼음빙두황술오방섹트초대남위드초대녀ㅇㅇㅅ캔디엑스터시케이떨액브액LSD도파민초대녀몰리인젝네토 https://t.co/SzqNBrMJY2,0,0,1668,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fl2HVJ3aYAM_X3e?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fl2HVJ3aYAM_X3e?format=jpg&name=orig', altText=None)]",Twitter for iPhone
2023-01-06 14:01:26+00:00,1.61136E+18,lce_perfect,작대기💉,,대한민국 강남구,몰리후리인천아이스인천작대기수원아이스수원작대기얼음빙두황술오방섹트초대남위드초대녀ㅇㅇㅅ캔디엑스터시차가운술아이스작대기경기도아이스경기도작대기서울작대기서울아이스부산아이스부산작대기케이떨액브액LSD도파민찬술파트너도리도리대마허브사티바인디카하이브리드코카인케타민MdMa인젝 https://t.co/P7MYD17A1r,0,0,1748,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fly1d2-akAEujre?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fly1d2-akAEujre?format=jpg&name=orig', altText=None)]",Twitter for iPhone
