date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-30 22:25:26+00:00,1.64157e+18,kdh6000,kimdaeheuk,,대한민국,"뽕라덴 복귀♈

텔레 binladen11

전국 실시간 좌표  ♥
전국 드랍   ♨

샘플 20만원 시작~  ☀

아이스작대기

대구아이스

김치 

작대기술 허브 LSD
차가운술 샘플20만 

케이 인디카 떨후기

허브 케이
케이 사티바 

#아이스팝니다 https://t.co/EHycwm28E9",0,0,32.0,['아이스팝니다'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsgExv7aYAARfPb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgExv7aYAARfPb?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 15:37:28+00:00,1.64146e+18,oss75524,chamingky,,"37.399483,126.953073","✏ 텔 레 그 램 J R i c e 1 ❣

✌아이스작대기 무한☁

전국떨 작대기퀄리티 클럽캔디
작대기팝니다 샘플20만 허브 아이스뽕

떨구매 떨팝니다  

 떨사는곳 떨가격 

 아이스사끼 떨판매 허브

ㅈㄷㄱㅇㄹ 떨구매  ㅎㄹ 인디카 

#아이스작대기
#빙두 https://t.co/uMMurcVB7U",0,0,20.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsenZz8aYAAeD2i?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsenZz8aYAAeD2i?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 13:48:33+00:00,1.64144e+18,wldms1331,라지벌랄라 🎗,,,"♠ 텔 레 그 램 J R i c e 1 ✐

♠아이스작대기 무한♥

빠른구매 
크리스탈아이스 판매처
차가운술 아이스술 아이스작대기 아이스드랍

떨후기 사탕 엑스터시 

 인디카 떨파는곳 

 아이스드랍 빙두판매처 아이스뽕

빙두판매처 떨구매  사끼사용법 파티약 

#아이스작대기
#빙두 https://t.co/zSk4BADoew",0,0,12.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FseOeNWaAAAmp5F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseOeNWaAAAmp5F?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 04:03:31+00:00,1.64129e+18,Y02163582,Y,,,"✏ 텔 레 그 램 J R i c e 1 ☀

↘아이스작대기 무한✂

아이스술 제주아이스 인천아이스
샘플20만 아이스사끼 허브 아이스드랍

클럽파티 떨 인디카 

  담배 

 아이스 아이스가격아이스샘플아이스선드랍 작대기팝니다

샤부 인디카  정품아이스파는곳소개 담배 

#작대기아이스 https://t.co/8kpWOTVMjP",0,0,95.0,['작대기아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FscIkngaMAA5udK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FscIkngaMAA5udK?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 03:53:45+00:00,1.64129e+18,ASURION1002,♬ARI♬,,,"☀ 국가대표 coreaice ☀

☎ 아이스작대기 ❣

♠ 코카인 ☎

작대기퀄리티 사끼사용법 작대기사용법
엘에디 아이스술 엘에디 LSD

사탕 인디카 떨가격 

 떨파는곳 담배 

 작대기 술사는곳 작대기술

작대기사용법 떨사는곳  히로뽕 케타민 

#아이스작대기 https://t.co/KGoPxLAlFp",0,0,26.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FscGVcKaQAMiWMA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FscGVcKaQAMiWMA?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 23:00:22+00:00,1.64121e+18,gg8644,란,,글쎄.,"♦ 국가대표 coreaice ☁

☣ 아이스작대기 ☎

♣ 코카인 ↔

대마초파는곳 강간데이트 아이스퀄리티
작대기뽕 엘에디 사끼 사끼

떨후기 떨사는곳 인디카 

 클럽약 떨파는곳 

 아이스팝니다 대마초파는곳 샘플20만

김치 떨  ㅈㄷㄱ팝니다 떨구매 

#아이스작대기
#빙두 https://t.co/FrI6c9QFaM",0,0,40.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsbDL8UakAEVfWA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbDL8UakAEVfWA?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 21:32:01+00:00,1.64119e+18,kshp2,환이,,,"✏ 텔 레 그 램 J R i c e 1 ♣

☁아이스작대기 사끼☢

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

전국빠른구매아이스거래방법

떨파는곳 떨후기 
인디카

엘에디 아이스작대기 작대기 

#작대기 https://t.co/h7k9tQhvPG",0,0,17.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsau9iaaAAEis9D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsau9iaaAAEis9D?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 12:19:24+00:00,1.64105e+18,ndidiwkspl,창원허브액상 신의눈물 밀크케이(전남합성대마초),,,"☆ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
전라도드라퍼  
캔디사는곳  
인천조인트  
충청도엑스터시  
충남액상떨  
인디카  
  
#총알좌표 https://t.co/KnYrKrQmPN",0,0,39.0,['총알좌표'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYwdxUaMAI7YhW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYwdxUaMAI7YhW?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 10:26:55+00:00,1.64102e+18,tjdqkr1,박성준,,,"☠ 텔♨ 레 ☠ 문♨ 의 ☀

Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

필로폰파는곳 마약상인 제주아이스 
아이스술 대전아이스 얼음사는곳얼음파는곳

떨팝니다 케타민 엑스터시 
인디카 클럽약 

작대기술 작대기팝니다 
캔디케이 아이스 작대기뽕 

#캔디 https://t.co/A8JIaZ5wLP",0,0,33.0,['캔디'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641024107365175296/pu/img/GM5PDAss9WZE9WhO.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641024107365175296/pu/pl/XAoYWLSDb_7tVo2X.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641024107365175296/pu/vid/270x480/gqYYEeulrrx5Zn76.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=1.237, views=7, altText=None)]",Twitter Web App
2023-03-29 05:50:15+00:00,1.64095e+18,MikeCocoli,케미컬약구입하는방법 광주원석케타민 드랍(충북수면유도제),,,"▶ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
작대기술사는방법  
즉시좌표  
보안딜러  
인디카  
강남합성떨  
정글주스  
  
#엑스터시 https://t.co/sOLQM99I66",0,0,16.0,['엑스터시'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsXXZQsacAA8hC_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXXZQsacAA8hC_?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 04:48:41+00:00,1.64094e+18,Yeon523,박아연※자격증대리시험,,,"☢ 텔 레 i c e m a n k ✿
아이스작대기 샘플0.2G 20만
사칭조심

작대기팝니다 작대기아이스

작대기술 차가운술
빙두
작대기

담배 캔디 강남파티 
케타민

허브 케이 인디카 
떨구매

정품아이스파는곳 아이스작대기

#아이스 https://t.co/7mJxKH0tVA",0,0,35.0,['아이스'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1640938988751187968/pu/img/3YRTz2UHPoenOA0T.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1640938988751187968/pu/vid/236x432/sV7AQWWlijou5bwp.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640938988751187968/pu/pl/7zRADGj1UKvLqDd0.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=1.75, views=10, altText=None)]",Twitter Web App
2023-03-29 03:24:05+00:00,1.64092e+18,lmwhg00,Hyeunkyeung Ko,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

✒ 아이스픽2 ↘
샘플 20만 아이스작대기

정품작대기 게이만남 차가운술파는곳
작대기효능

인디카 최음제 클럽파티
 떨파는곳 엑스터시

LSD 아이스뽕 아이스1G
아이스술 차가운술

#떨구매 https://t.co/jvbWJ2lRoN",0,0,25.0,['떨구매'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsW19BDaUAMwiTf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsW19BDaUAMwiTf?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 02:46:41+00:00,1.64091e+18,yjh1226,"YOO, JI-HYUN",,,"달나라 아이스
텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만

아이스작대기 
캔디 케이 브액 떨 액상 대마 떨액 

아이스사용후기 아이스효능직빵 샤부

케이 엑스터시 인디카

작대기팝니다 아이스사끼 아이스드랍

#아이스작대기
#빙두판매
#빙두판매 https://t.co/xDvosXU2I2",0,0,20.0,"['아이스작대기', '빙두판매', '빙두판매']","[Photo(previewUrl='https://pbs.twimg.com/media/FsWtZRqaAAAKjlY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWtZRqaAAAKjlY?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 02:31:02+00:00,1.6409e+18,EugeneL46847540,EugeneLEE,,,"♈ 국가대표 coreaice ☢

☣ 아이스작대기 ☀

✒ 코카인 ☀

강간데이트 아이스판매처 떨파는곳소개
아이스1G 아이스팝니다 작대기뽕 아이스1G

케이 최음제 떨가격 

 떨느낌 인디카 

 작대기아이스 김치 아이스사끼

엑스터시효능   대전아이스 떨느낌 

#아이스 https://t.co/CquBwhSB7l",0,0,57.0,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsWpz_CaEAIJPW1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWpz_CaEAIJPW1?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 02:12:54+00:00,1.6409e+18,jeffchun21,전형주,,,"✉ 텔 레 i c e m a n k ✉
샘플0.2G 20만
사칭조심

아이스작대기  작대기아이스
허브 
아이스드랍

아이스술 작대기아이스
빙두
작대기팝니다

캔디 떨파는곳 인디카 
떨사는곳

아이스사끼 아이스작대기 캔디 
떨느낌

부산아이스 게이만남

#얼음술
#강남아이스 https://t.co/NzCQY74W7s",0,0,231.0,"['얼음술', '강남아이스']","[Photo(previewUrl='https://pbs.twimg.com/media/FsWlqSGacAAy-6j?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWlqSGacAAy-6j?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 01:18:15+00:00,1.64089e+18,simtong22,세희,,Korea ~*,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

✉ 아이스픽2 ♨
샘플 20만 아이스작대기

아이스작대기 작대기사용법 떨판매
필로폰파는곳

인디카 강남파티 떨사는곳
 엑시 인디카

아이스드랍 아이스작대기 케타민
차가운술 허브

↘ #아이스작대기 ☀
♈ #빙두 ☀ https://t.co/P7YgtHjMtB",0,0,28.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsWZJqGacAASu9T?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWZJqGacAASu9T?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 19:53:13+00:00,1.6408e+18,kdh6000,kimdaeheuk,,대한민국,"뽕라덴 복귀☀

텔레 binladen11

전국 실시간 좌표  ✏
전국 드랍   ☑

샘플 20만원 시작~  ☀

아이스작대기

히로뽕

ㅇㅇㅅ 

아이스술 작대기뽕 아이스사끼
아이스드랍 작대기뽕 

인디카 떨구입 엑시

아이스작대기 떨후기
빙두 강남파티 

#아이스작대기 https://t.co/Q1XZZVRVyW",0,0,27.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsVOwmsacAAWfah?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsVOwmsacAAWfah?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 12:12:31+00:00,1.64069e+18,0_08240,ㅏㅏㅏㅏ,,대한민국,"❣ 텔 레 i c e m a n k ✡
샘플0.2G 20만
사칭조심

아이스작대기 아이스사끼
사끼 
빙두

허브 아이스사끼
허브
허브

엑시 떨사는곳 대마 
인디카

차가운술 작대기아이스 담배 
클럽약

빙두판매처 판매처

#대마초
#엑시 https://t.co/HSUkiBfPsW",0,0,67.0,"['대마초', '엑시']","[Photo(previewUrl='https://pbs.twimg.com/media/FsTlUAHaIAQ7PiO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTlUAHaIAQ7PiO?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 12:08:30+00:00,1.64069e+18,kasamhajurko20,드랍퍼 경상도얼음 안전좌표(전국하선모집),,,"☞ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
#트라마돌  
히로뽕구매  
아이스뽕판매합니다  
북한산빙두팝니다  
LSD사는법  
인디카  
사끼 https://t.co/xbjCQD4IaO",0,0,18.0,['트라마돌'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsTkYfMaAAARVCX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTkYfMaAAARVCX?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 11:20:18+00:00,1.64068e+18,cocobily,허인흐ㅣ,,,"여러분에 안식처 아이스 하이븐 

✂텔 레 문 의 i c e haven ☢

정품작대기 샤부 아이스가격아이스샘플아이스선드랍

사티바 케타민 
인디카 떨파는곳

LSD 아이스팝니다 작대기뽕
작대기아이스 샘플20만

#아이스작대기 https://t.co/W32a4m77Os",0,0,5.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsTZXM-aYAEThRc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTZXM-aYAEThRc?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 09:18:01+00:00,1.64064e+18,whalfhd,조미롱,,,"여러분에 안식처 아이스 하이븐 

☀텔 레 문 의 i c e haven ❣

얼음사는곳얼음파는곳 정품아이스파는곳 광주아이스
제주아이스 술의효능

인디카  떨느낌
클럽파티 클럽파티

케이 작대기술 아이스1G
아이스드랍 작대기뽕

#차가운술 https://t.co/ylCvpBWk1Z",0,0,64.0,['차가운술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsS9XrhakAE6adO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsS9XrhakAE6adO?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 02:50:02+00:00,1.64055e+18,tjdqkr1,박성준,,,"☎ 텔☢ 레 ☄ 문✐ 의 ♈

Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

시원한술파는곳 작대기주사 아이스효능직빵 
대마초파는곳 마약파는곳 서울아이스

#캔디

최음제 떨사는곳 최음제 
사탕 사탕 

허브 아이스사끼 
케이 캔디케이 아이스팝니다 

#인디카 https://t.co/b5hyvEwW6f",0,0,14.0,"['캔디', '인디카']","[Photo(previewUrl='https://pbs.twimg.com/media/FsRkknwaUAE4-2x?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsRkknwaUAE4-2x?format=jpg&name=orig', altText=None)]",Twitter Web App
