date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2022-09-21 12:40:36+00:00,1.57257E+18,soonraeja,순례자,,,"☎ 텔 레 그 램 J R i c e 1 ☀

♨아이스작대기 사끼☄

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

삥두인잭하는법

최음제 하이든 
강남파티

차가운술 아이스술 아이스팝니다 

#작대기 https://t.co/ITMvqPhBsF",0,0,,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FdLg2KPakAEi50f?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdLg2KPakAEi50f?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-28 05:42:58+00:00,1.575E+18,sseoraaaa_,슬기로운쌜리,,,"뽕라덴 복귀 ☎

텔레 binladen11

아이스작대기
대마 떨 캔디케이 엑스터시♠
아이스
작대기
삥두 
LSD 눈꽃
액상 허브 허브액상 떨액상

#아이스 https://t.co/Vdc0JaZQVD",0,0,,['아이스'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1574998049067499521/pu/img/5CQs1BzqERK4XN6I.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1574998049067499521/pu/vid/320x344/yDegkJ8I8qn6hbbO.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1574998049067499521/pu/vid/400x432/pUCrOBgIXig-SZKV.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1574998049067499521/pu/pl/IfN8PmeS3Sn6M2PY.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=5.1, views=15, altText=None)]",Twitter Web App
2022-10-01 09:50:26+00:00,1.57615E+18,illusion2307,김현아,,,"☠ #아이스술  ☝
☀ #아이스작대기 ☀

여러분에 안식처 하이븐

☎텔 레 문 의 i c e haven ☎

아이스효능직빵 삥두 ㅅㄲ
아이스얼음주사사용방법 술구매

떨파는곳 떨구입 최음제
 클럽파티 떨후기

브액 케타민
액상 캔디케이
 브액 https://t.co/2RklrFFMYD",0,0,,"['아이스술', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/Fd-Zy-VakAInmX0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fd-Zy-VakAInmX0?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-02 06:17:34+00:00,1.57646E+18,NayLwc4L6NTSOdb,한창희,,,"☢ 텔 레 그 램 J R i c e 1 ☝

☀아이스작대기 무한♥

술사는곳 삥두 
빙두 떨구매 아이스술 

대마액상 인디카 최음제 

 파티약 액상구입 

작대기팝니다 작대기아이스 아이스술

 LSD 빙두

#아이스작대기 https://t.co/B6FjkZhfwh",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FeCyqrJUUAAk30_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FeCyqrJUUAAk30_?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-03 11:30:46+00:00,1.5769E+18,illusion2307,김현아,,,"☣ #아이스술  ☁
☀ #아이스작대기 ✏

여러분에 안식처 하이븐

☺텔 레 문 의 i c e haven ☎

삥두 클럽캔디 정품작대기
반작대기 필로폰파는곳

떨가격  떨가격
 클럽약 떨구매

작대기팝니다 브액 작대기
아이스 캔디케이 https://t.co/2A1fr6c2T6",0,0,,"['아이스술', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FeJD8JGUoAETazf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FeJD8JGUoAETazf?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-05 03:36:21+00:00,1.5775E+18,xodus0124,옞덩이,,대한민국 대구광역시,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

아이스판매처 아이스가격아이스샘플아이스선드랍 게이만남 
삥두 창원아이스 작대기주사

떨구매 사티바 클럽약 
케이 떨느낌 

떨 떨 
대마 LSD 떨액상 

#작대기아이스
#아이스작대기 https://t.co/GFo5Yp4aDS",1,0,,"['작대기아이스', '아이스작대기']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1577502878104969216/pu/img/th1AlKUYjWhWWpFr.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1577502878104969216/pu/pl/30cJy5Qm3K5Gb8Ka.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1577502878104969216/pu/vid/270x480/qK9GhyUOQvuU8EuZ.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=27.751, views=41, altText=None)]",Twitter Web App
2022-10-07 09:51:38+00:00,1.57832E+18,Kimsc23,Kim seungchul,,대한민국 인천,"☀ 텔 레 그 램 J R i c e 1 ☠

☀아이스작대기 무한✍

전국빠른구매 삥두 
아이스작대기 액상구입 아이스팝니다 떨가격

클럽파티 대마 떨팝니다 

 액상사는곳 사티바 

LSD 작대기 샘플20만

 작대기 차가운술

#아이스작대기
#빙두 https://t.co/QxrMR2HZK7",0,0,,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FedTnHpakAAXVhb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FedTnHpakAAXVhb?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-13 04:43:15+00:00,1.58042E+18,gymogoo1412,구경모,,,"☠ 텔 레 그 램 J R i c e 1 ☃

☀아이스작대기 무한☃

작대기주사 한작대기 김치
  아이스게이  삥두 아이스거래방법

액상구입  파티약 

 인디카 떨 

  대마  

작대기퀄리티 사티바  대마초파는곳 클럽파티 

#아이스작대기
#사끼 https://t.co/elC9wxbZSK",0,0,,"['아이스작대기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/Fe7GkIOaAAEUTNW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fe7GkIOaAAEUTNW?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-14 07:25:33+00:00,1.58082E+18,teahoon1,김태훈,,,"☎ 텔 레 그 램 J R i c e 1 ✐

♦아이스작대기 무한♣

대마초파는곳 마약상인 삥두
 인잭하는법 일산아이스  ㅇㅇㅅ팝니다 술파는곳

클럽약 허브액상 떨가격 

 떨구매 담배 

 떨구매 인디카  

정품작대기 케이  아이스판매처 하이든 

#작대기아이스 https://t.co/5RA0ohmku7",0,0,,['작대기아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FfA1TdLaMAA3Nve?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FfA1TdLaMAA3Nve?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-14 10:43:11+00:00,1.58087E+18,foso9,아파요,,,"☢ 텔 레 i c e m a n k ♦
샘플0.2G 20만
사칭조심

아이스작대기 허브
허브액상 
브액

브액 캔디케이
떨
허브

떨팝니다 떨팝니다 떨파는곳 
캔디

브액 떨 떨구입 
떨파는곳

천안아이스 삥두

#대마초
#떨구매 https://t.co/uFReNjxQOy",0,0,,"['대마초', '떨구매']","[Photo(previewUrl='https://pbs.twimg.com/media/FfBiiifUcAAA_Qh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FfBiiifUcAAA_Qh?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-15 10:02:33+00:00,1.58122E+18,Oppa7773124,ㅌ ㄹ Oppa7773 문 의,,,"☯ 텔 레 그 램 o p p a 7 7 7 3 ✌

☂아이스작대기 좌표☁

브액판매처 인잭하는법 판매처
 술구매 삥두  빙두판매처 인슐린주사기

강남파티 엑시 엑스터시 

 떨사는곳 대마액상 

 인디카 담배  

마약상인 브액  후리베이스 떨파는곳 https://t.co/oF90CMVMgG",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FfGi2GkUUAAMzqo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FfGi2GkUUAAMzqo?format=jpg&name=orig', altText=None)]",Twitter for Android
