date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2022-07-25 12:43:22+00:00,1.55155E+18,iseungc55906871,이승철,,,"수도권 24시간상담
간보기 사절
아이스 팝니다
작대기 팝니다
대마 팝니다
크리스탈
아이스
시원한술
빙술
텔레 icejoy4989
물건은자부합니다~~^^",0,0,,,,Twitter for Android
2022-07-26 12:59:18+00:00,1.55192E+18,h_sngmin,홍성민,,대한민국 부산,"♦ 텔✿ 레 ↘ 문↔ 의 ♦

Happy b b o n g

아이스작대기 
아이스
작대기
대마
떨
액상
케이캔디
도리도리
아이스팝니다
작대기팝니다
허브
LSD 허브액상
차가운술 https://t.co/yf6aowRaos",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FYmCgfGakAA-4-g?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYmCgfGakAA-4-g?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-07-26 14:07:09+00:00,1.55193E+18,yungyeonga5,윤경아,,,"♣ 텔☝ 레 ✿ 문☯ 의 ☯

Happy b b o n g

아이스작대기 
아이스
작대기
대마
떨
액상
케이캔디
도리도리
아이스팝니다
작대기팝니다
허브
LSD 허브액상
차가운술 https://t.co/AEP66tp5hg",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FYmSCUQacAIqDyu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYmSCUQacAIqDyu?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-07-26 20:08:03+00:00,1.55202E+18,LdvY64zsivVDK7K,강민성,,,"텔 레 i c e p i c k s ✂
텔 레 i c e p i c k s ☀
텔 레 i c e p i c k s ♣

찬술 크리스탈 작대기 아이스 
아이스작대기
캔디케이 허브 떨 
액상 대마 케타민  허브액상 브액
떨액 떨액상 대마액상

아이스작대기 https://t.co/9IbygdCjDR",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FYnko1NacAAWgXQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYnko1NacAAWgXQ?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-07-27 22:35:43+00:00,1.55242E+18,kimura_fandesu,kimura⭕souk crew⚓C&C,,"seoul,korea","♦ 텔✈ 레 ☺ 문✍ 의 ☝

Happy b b o n g

아이스작대기 
아이스
작대기
대마
떨
액상
케이캔디
도리도리
아이스팝니다
작대기팝니다
허브
LSD 허브액상
차가운술 https://t.co/qh7H6NXA6d",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FYtQBw_aAAEaXsb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYtQBw_aAAEaXsb?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-08-01 02:20:32+00:00,1.55393E+18,minjeong000,bibim U,,,"♦빈센트 반 고흐 ☄

텔레 gogh01

#작대기 https://t.co/Y3Ckx7xEC0",0,0,,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FZCp2OmaUAE1qDj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FZCp2OmaUAE1qDj?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-08-03 01:17:01+00:00,1.55464E+18,HjDMiWMZRxu64CB,이은희,,,"☀ 장사 오래했습니다 ☀

인증 채널 보면 퀄 좋습니다

ㅌㄹ i c e p i c k s

#작대기 https://t.co/HE1HJ5PMtU",0,0,,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FZMufE8acAA4SYp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FZMufE8acAA4SYp?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-08-13 18:10:13+00:00,1.55852E+18,Bdu4IT3YXB8LkqK,드루,,대한민국,"👩‍❤️‍👩
라리가 글로리스카 작대기팝니다 #여친  
‍♀️",0,0,,['여친'],,Twitter for Android
2022-08-15 03:59:14+00:00,1.55903E+18,Jaymmarkus,Jay,,,"☁ 텔✏ 레 ☑ 문☁ 의 ☀

Happy b b o n g

아이스작대기 
작대기아이스

아이스 작대기 
대마 떨 떨액 액상

케이캔디
도리도리
엑스터시

아이스팝니다
작대기팝니다

허브
LSD 허브액상
차가운술

#빙두
#엑스터시 https://t.co/ibLWUpCIhg",0,0,,"['빙두', '엑스터시']","[Photo(previewUrl='https://pbs.twimg.com/media/FaLGsSJUUAAdJNQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaLGsSJUUAAdJNQ?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-08-16 22:51:04+00:00,1.55967E+18,EunRei,나앵,,,"🛂
라리가 글로리스카 작대기팝니다 #여친  
👨",0,0,,['여친'],,Twitter for Android
