date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-30 21:40:21+00:00,1.64156E+18,Brittne70253823,FASTice,,,"문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다 
⚠안전 최우선 ! ⚠
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 
엑스터시 캔디 떨액  
시원한술 케이 
브액 빙두 수면제 졸피뎀 
드라퍼 모집 https://t.co/Z8KbdrcQa4",0,0,23,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fsf6eFNaIAEMGQa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsf6eFNaIAEMGQa?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 21:12:06+00:00,1.64155E+18,NalrariSeunim,Nals,,,"✈ 국가대표 coreaice ☠

♈ 아이스작대기 ♈

☎ 코카인 ✍

시원한술파는곳 ㅈㄷㄱ팝니다 게이만남
아이스드랍 아이스 작대기뽕 차가운술

떨후기 엑스터시 떨사는곳 

 클럽약 케이 

 허브 후리베이스 허브

작대기주사 떨후기  광주아이스 케타민 

#담배
#케타민 https://t.co/b53zBWwqPU",0,0,248,"['담배', '케타민']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsfz_x4acAAUGbc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsfz_x4acAAUGbc?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 20:47:13+00:00,1.64154E+18,Mariela87398441,Mariela,,,"🍭blue punisher🍭
🛫입고 🛬
문의 텔레 @Fastice119
⚠️안전 최우선 ! ⚠️
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 엑스터시 캔디 떨액  
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/tX0Br3cil5",1,0,14,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfuTuWaIAA2iYo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfuTuWaIAA2iYo?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 19:46:27+00:00,1.64153E+18,Mariela87398441,Mariela,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @Fastice119  
⚠️안전 최우선 ! ⚠️
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기 엑스터시 캔디 떨액 
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/AT4gk3n6gi",1,0,7,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfgZsIaYAAW8WN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfgZsIaYAAW8WN?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 18:30:41+00:00,1.64151E+18,Mariela87398441,Mariela,,,"🍭blue punisher🍭
🛫입고 🛬
문의 텔레 @Fastice119
⚠️안전 최우선 ! ⚠️
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 엑스터시 캔디 떨액  
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/amCGGb9pKk",1,0,10,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfPDlhaAAEVvQr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfPDlhaAAEVvQr?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 18:18:19+00:00,1.64151E+18,Mariela87398441,Mariela,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @Fastice119  
⚠️안전 최우선 ! ⚠️
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기 엑스터시 캔디 떨액 
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/MpGSqw9tfG",1,0,9,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfMOzZaMAE_J2h?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfMOzZaMAE_J2h?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 17:15:07+00:00,1.64149E+18,YounSeok,bbaabb,,,"☂ #시원한술 ♈
✉ #아이스작대기 ✍

여러분에 안식처 하이븐

✍텔 레 문 의 i c e haven ☁

아이스가격아이스샘플아이스선드랍 서울아이스 후리하는방법
아이스작대기 정품아이스파는곳

사탕 강남파티 담배
 강남파티 떨삽니다

작대기술 아이스 LSD
케이 아이스드랍

. https://t.co/hNBRrJI9ka",0,0,14,"['시원한술', '아이스작대기']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641489220777967616/pu/img/GmbipvUbrFMEqt3B.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641489220777967616/pu/pl/_YhGo4lMXpzb9rU_.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641489220777967616/pu/vid/270x480/8PlzLiF8LSyahCVI.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=1.301, views=3, altText=None)]",Twitter Web App
2023-03-30 16:23:08+00:00,1.64148E+18,Brittne70253823,FASTice,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다   
⚠안전 최우선 ! ⚠
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기
 엑스터시 캔디 떨액 
시원한술 케이 브액 
빙두 수면제 졸피뎀 
드라퍼 모집 https://t.co/mhDtAVoYpc",0,0,23,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fsex25KaQAIXDl2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsex25KaQAIXDl2?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 15:55:05+00:00,1.64147E+18,QOcEMp5ofpinKvC,드래곤 토질기술사,,Republic of Korea,"뽕라덴 복귀☎

텔레 binladen11

전국 실시간 좌표  ☣
전국 드랍   ✂

샘플 20만원 시작~  ♦

아이스작대기

샤부

아이스술 

아이스1G 빙두 아이스드랍
아이스드랍 LSD 

엑스터시 떨가격 사탕

작대기아이스 대마
아이스술 사티바 

#시원한술
#떨느낌 https://t.co/zM9ct5qdDi",0,0,20,"['시원한술', '떨느낌']","[Photo(previewUrl='https://pbs.twimg.com/media/Fserbv0aUAA65FE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fserbv0aUAA65FE?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 10:48:06+00:00,1.64139E+18,illillilil6,illillililillil,,,"☃텔레 KRBW24✂

사기 걱정 NO ♠
안전한 거래 ♥

 ✈ 착한딜러 샘플 부터 주문주세요 ✈

작대기 아이스 캔디 케이

떨 떨액 액상 허브액상

대마초 대마 떨 허브 

시원한술 차가운술 빙두

아이스작대기

#작대기판매
#떨구입 https://t.co/cGXSGHowI2",0,0,27,"['작대기판매', '떨구입']","[Photo(previewUrl='https://pbs.twimg.com/media/FsdlK8baMAQJoij?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdlK8baMAQJoij?format=jpg&name=orig', altText=None)]",Twitter Web App
