date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2022-08-20 16:16:44+00:00,1.56102E+18,slDmDMRHUlX2QKJ,ㅇㅇ,,,"수면제 구합니다 
디엠주세요
#졸피뎀 #수면제 #스틸녹스",0,0,,"['졸피뎀', '수면제', '스틸녹스']",,Twitter for Android
2022-08-20 16:19:28+00:00,1.56103E+18,slDmDMRHUlX2QKJ,ㅇㅇ,,,"스틸녹스 졸피뎀 구합니다 
디엠주세요
#졸피뎀 #수면제 #스틸녹스 #졸끠뎀",0,0,,"['졸피뎀', '수면제', '스틸녹스', '졸끠뎀']",,Twitter for Android
2022-08-27 06:39:09+00:00,1.56342E+18,dididio7890,dididio,,,"스틸녹스 구합니당...
#스틸녹스 #졸피뎀",0,0,,"['스틸녹스', '졸피뎀']",,Twitter Web App
2022-10-19 06:35:35+00:00,1.58262E+18,yunmise54753702,윤미선,,,"자낙스 판매하실 분 구해요 -.-
스틸녹스도 환영합니다.
돈은 갯수보고 얼마든지 싯가보다 더 비싸게 살수있습니다.
#자낙스 #자낙스구함 #자낙스구매 #자낙스판매 #스틸녹스 #스틸녹스구함 #스틸녹스구매 #스틸녹스판매 #Stilnox #StilnoxTab10mg #Xanax",0,0,,"['자낙스', '자낙스구함', '자낙스구매', '자낙스판매', '스틸녹스', '스틸녹스구함', '스틸녹스구매', '스틸녹스판매', 'Stilnox', 'StilnoxTab10mg', 'Xanax']",,Twitter for iPhone
2022-10-20 13:52:52+00:00,1.58309E+18,_Hino_0,ㅌㅊㅅ히노,,대한민국 울산,"자낙스 저한테 파실분 ㅠㅜㅜ급구팁이 ㅠㅜㅠㅜ뎸주세요오ㅠㅜㅠ 
#스틸녹스 #자낙스 #자낙스구함 #자낙스판매 #스틸녹스판매",2,0,,"['스틸녹스', '자낙스', '자낙스구함', '자낙스판매', '스틸녹스판매']",,Twitter for Android
2022-10-27 03:48:18+00:00,1.58548E+18,1n2t1cks,박효리,,,"🆑#정품졸ㅍㅣ뎀판ㅁㅐ하는곳🆑
🍹🐸#ㅇㅔ토ㅁㅣ데이트팝ㄴㅣ다🐍
🍆#꽃물판매하는곳🚴‍
🐆잠 안올때  약 스틸녹스🐆
🕒🍂#정품졸ㅍㅣ뎀구입방법🍂
⛲♐⛲24시상담⛲
🚀🔫🛵카톡:sld58🚴🐱
🛩️텔레Komen68🎠
🐉ensure there is no 🥤",0,0,,"['정품졸ㅍㅣ뎀판ㅁㅐ하는곳', 'ㅇㅔ토ㅁㅣ데이트팝ㄴㅣ다', '꽃물판매하는곳', '정품졸ㅍㅣ뎀구입방법']",,Botbird tweets
2022-10-31 04:56:43+00:00,1.58695E+18,gaulgulum,가을구름,,Seoul.Korea,"Ka↪️Kao
🆔➡️
➥Mye９➥

𝄴 우울 우울계

𝅋 #스틸녹스 

𝅃 부산 #중구

𝇏 남성최음제 

깔*끔하고
거*짓없는
거*래",1,0,,"['스틸녹스', '중구']",,Twitter Web App
2022-11-09 13:18:05+00:00,1.59033E+18,gimmins56962985,김민서,,,@HX8YRie1vdm4FIH 스틸녹스 구매하고싶어여,0,0,,,,Twitter for iPhone
2022-11-09 13:34:32+00:00,1.59034E+18,gimmins56962985,김민서,,,광주 스틸녹스 지금 당장 직거래 하실뿐 구합니다,0,0,,,,Twitter for iPhone
2022-11-12 16:48:50+00:00,1.59147E+18,igyeong68814818,약,,,"수면제 구해요 서울 직거래 가능 경기도 직거래 가능 
#수면제 #수면유도제 #ㅈㅍㄷ #ㅅㅌㄴㅅ #졸피뎀 #스틸녹스 #직거래 가격 선제시 받아요",0,0,,"['수면제', '수면유도제', 'ㅈㅍㄷ', 'ㅅㅌㄴㅅ', '졸피뎀', '스틸녹스', '직거래']",,Twitter for Android
2022-11-13 15:15:54+00:00,1.59181E+18,2BeaGjc8uMrzPst,김지원,,,"졸피뎀.스틸녹스 구매대행이나
정품구매합니다
가격 선제시 해주세요
직거래 가능
#졸피뎀 #졸피 #스틸녹스
#수면제 #ㅅㅌㄴㅅ",1,0,,"['졸피뎀', '졸피', '스틸녹스', '수면제', 'ㅅㅌㄴㅅ']",,Twitter Web App
2022-11-19 10:53:45+00:00,1.59392E+18,gimmins72033035,김민서,,,광주 스틸녹스 직거래로 삽니다 텔레 loveyousol 연락주세여,0,0,,,,Twitter for iPhone
2022-11-20 23:48:36+00:00,1.59448E+18,tBvQZ5ISEplAepu,182/70,,,"스틸ㄴㅅ
졸ㅍㄷ 필요하신분
#인천 #안산 #시흥 #부천 #ㅅㅌㄴㅅ #ㅈㅍㄷ #스틸녹스 #수면",1,0,,"['인천', '안산', '시흥', '부천', 'ㅅㅌㄴㅅ', 'ㅈㅍㄷ', '스틸녹스', '수면']",,Twitter for iPhone
2022-11-29 17:46:26+00:00,1.59765E+18,chaplwmlk,스녹구,,대한민국 성남시,졸피뎀 성남 직거래 구함  2알 구매합니다 알당 1만 사용후 확실하면 대량구매함 #졸피뎀 #스틸녹스 #성남,0,0,,"['졸피뎀', '스틸녹스', '성남']",,Twitter for iPhone
