date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-30 23:05:59+00:00,1641577539570384897,Jinha0520,평원,,,"여러분에 안식처 아이스 하이븐 

☺텔 레 문 의 i c e haven ☁

아이스작대기
아이스
작대기
아이스팝니다
작대기팝니다
허브 캔디케이 떨 대마 케타민
액상 차가운술 허브액상 브액

샘플 0.2 20만

#아이스작대기
#작대기팝니다 https://t.co/Y0KH0tCFdN",0,0,14.0,"['아이스작대기', '작대기팝니다']","[Photo(previewUrl='https://pbs.twimg.com/media/FsgODrpagAI8Al3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgODrpagAI8Al3?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 22:36:28+00:00,1641570113710333952,Kyeongnam_Kim,Kyeongnam Kim,,NULL,"♦ 텔 레 그 램 J R i c e 1 ☠

☝아이스작대기 무한♦

샤부 정품아이스파는곳 차가운술파는곳
차가운술 아이스술 LSD 아이스

케이 떨느낌 떨사는곳 

 사탕 떨구매 

 엘에디 아이스판매처 케이

마약상인 인디카  술파는곳 떨가격 

#작대기 https://t.co/Q0HdA7ZrZw",0,0,16.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsgHTkjaMAAbyYi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgHTkjaMAAbyYi?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 22:25:26+00:00,1641567335852150785,kdh6000,kimdaeheuk,,대한민국,"뽕라덴 복귀♈

텔레 binladen11

전국 실시간 좌표  ♥
전국 드랍   ♨

샘플 20만원 시작~  ☀

아이스작대기

대구아이스

김치 

작대기술 허브 LSD
차가운술 샘플20만 

케이 인디카 떨후기

허브 케이
케이 사티바 

#아이스팝니다 https://t.co/EHycwm28E9",0,0,32.0,['아이스팝니다'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsgExv7aYAARfPb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgExv7aYAARfPb?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 22:07:07+00:00,1641562727822028802,leebongkeun0417,bongkeun,,,"✉ 텔 레 그 램 J R i c e 1 ☁

✏아이스작대기 무한♥

 아이스가격아이스샘플아이스선드랍 허브효능
작대기팝니다 차가운술 케타민 작대기팝니다

떨사는곳 케이 떨파는곳 

 떨구입 대마 

 사끼 아이스효능직빵 엘에디

사끼파는곳 엑스터시  부산아이스 떨파는곳 

#아이스작대기
#사끼 https://t.co/aNIqCWPdCJ",0,0,28.0,"['아이스작대기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/FsgAloQacAAk2z3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgAloQacAAk2z3?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 21:47:36+00:00,1641557816929587200,chimkoo,야물고기,,,"“whirl around the circuit”
#아이스작대기 차가운술
🥠🥠🥠 https://t.co/m1jUswSlpP",0,0,24.0,['아이스작대기'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641557720968101888/pu/img/Y8PRDbUtJjPoj9mj.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641557720968101888/pu/pl/z64fDaiThaWbqOqs.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641557720968101888/pu/vid/320x320/XDeyq85Ioa8qnh_Y.mp4?tag=12', contentType='video/mp4', bitrate=432000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641557720968101888/pu/vid/540x540/5cstQFUVwDvZxCMz.mp4?tag=12', contentType='video/mp4', bitrate=832000)], duration=3.0, views=5, altText=None)]",Twitter Web App
2023-03-30 21:12:06+00:00,1641548883137540096,NalrariSeunim,Nals,,,"✈ 국가대표 coreaice ☠

♈ 아이스작대기 ♈

☎ 코카인 ✍

시원한술파는곳 ㅈㄷㄱ팝니다 게이만남
아이스드랍 아이스 작대기뽕 차가운술

떨후기 엑스터시 떨사는곳 

 클럽약 케이 

 허브 후리베이스 허브

작대기주사 떨후기  광주아이스 케타민 

#담배
#케타민 https://t.co/b53zBWwqPU",0,0,248.0,"['담배', '케타민']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsfz_x4acAAUGbc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsfz_x4acAAUGbc?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 21:05:21+00:00,1641547183358087168,songmi1013,지미니또찌미니💜,,대한민국 부산,"Are your friends staying at a hotel 🚚 #차가운술

s444b https://t.co/MF2Nr2Demo",0,0,10.0,['차가운술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsfyT2taEAAWSVU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfyT2taEAAWSVU?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 20:30:54+00:00,1641538512460853248,halluyou,홍민우,,,♨❤✎주시쥬치       배필트퍼체  #차가운술 채푸듀 https://t.co/aANS8LFDoD,0,0,10.0,['차가운술'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641538492328218624/pu/img/7Lzq7Nh7RzaNNtB7.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641538492328218624/pu/pl/kGWYp9w89Jyy4842.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641538492328218624/pu/vid/540x360/5ms_uVEkBJZ69VX5.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641538492328218624/pu/vid/404x270/avmseNzudKEJ2otA.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641538492328218624/pu/vid/720x480/HItG_GF4fubFsUzs.mp4?tag=12', contentType='video/mp4', bitrate=2176000)], duration=1.958, views=3, altText=None)]",Twitter Web App
2023-03-30 20:27:11+00:00,1641537576959086592,halluyou,홍민우,,,❁☿즈래도ㄷ   #차가운술    뱌투가ㅐ레  #아이스작대기 더트ㅏ https://t.co/FOBRlCXGuq,0,0,13.0,"['차가운술', '아이스작대기']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641537556822261760/pu/img/m0pvq9eOWb_DjYac.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641537556822261760/pu/vid/640x480/QHHRLxq_8pGWM60N.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641537556822261760/pu/vid/360x270/pk2CQbxj-g-jf2JS.mp4?tag=12', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641537556822261760/pu/vid/480x360/UDSqA1x4hz69dBFn.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641537556822261760/pu/pl/WjALCZnPTicJlANv.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=2.041, views=1, altText=None)]",Twitter Web App
2023-03-30 19:50:21+00:00,1641528308079951873,abvet79,카오잠자리,,,"♥ 텔✿ 레 ☀ 문♨ 의 ✉

Happy b b o n g

해피 해피뽕 

아이스작대기 
아이스
작대기
대마
떨
액상
케이캔디
도리도리
아이스팝니다
작대기팝니다
허브
LSD 허브액상
차가운술

#떨가격. https://t.co/h79JGwcR0t",0,0,3.0,['떨가격'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsfhSDjaMAA6nZk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfhSDjaMAA6nZk?format=jpg&name=orig', altText=None)]",Twitter Web App
