date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-30 20:10:52+00:00,1641533472237056000,SUPERWEBY,웨ㅂ ㅣ🎗,,,"❣ 텔 레 그 램 J R i c e 1 ✉

☣아이스작대기 무한♠

제주아이스 강간데이트 술사는곳
케이 빙두 아이스드랍 빙두

떨 케타민 엑스터시 

 떨파는곳 인디카 

 작대기술 히로뽕 사끼

대마초파는곳 사티바  판매처 떨느낌 

#아이스작대기
#빙두 https://t.co/pOToA2bhke",0,0,58.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsfl-usaQAAnqSG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsfl-usaQAAnqSG?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 19:28:20+00:00,1641522766628151297,sunshine9__4,sunshine,,,"🐝 🎎 🐝 🎎
💦#정품스틸녹스구입방법💦
【#환각버섯】

𓂋 📔🚲 ₊˚ˑ🥣 𓏔🥛✧ ˳
🎸텔레:wame658🛠️라인:popu12🔭
🚀카톡:kodak8🏍️
【펜타닐】
💦#정품스틸녹스구입방법💦
“✍ʕ•ᴥ•oʔ  엑스터시는 히로뽕의 일부를 변화시켜 환각작용을 강하게 만들었습니다.

🐝 🎎 🐝 🎎",0,0,28.0,"['정품스틸녹스구입방법', '환각버섯', '정품스틸녹스구입방법']",,Botbird tweets
2023-03-30 18:58:14+00:00,1641515190737854496,honeyGuns2716,김동인,,,"👜#ㅇㅔ토미데이트판ㅁㅐ👛
⤷ 🌷 ₊˚.༄*. 🐾 .˚₊ 🌈 //  🦢

『#우유주사판매』

🎸텔레:wame658🛠️라인:popu12🔭
🚀카톡:kodak8🏍️

엑스터시는 히로뽕의 일부를 변화시켜 환각작용을 강하게 만들었습니다.
♐︎#우유주사판매✧
🃏 🐝 🃏 🐝 🃏 🐝",0,0,26.0,"['ㅇㅔ토미데이트판ㅁㅐ', '우유주사판매', '우유주사판매']",,Botbird tweets
2023-03-30 18:39:22+00:00,1641510444522430464,hallo226,ヽ(*・ω・)ﾉ,,,"↔ 텔 레 그 램 J R i c e 1 ✍

✏아이스작대기 무한♥

히로뽕 ㅈㄷㄱ팝니다 반작대기
사끼 아이스작대기 케타민 엘에디

클럽파티 떨후기 떨파는곳 

 엑시 떨가격 

 차가운술 아이스얼음주사사용방법 아이스뽕

술구매 담배  마약효과 강남파티 

#아이스작대기
#코카인 https://t.co/MwZnBrc7sp",0,0,60.0,"['아이스작대기', '코카인']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641510427090915328/pu/img/unzCGHlvHisg9Z8F.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641510427090915328/pu/vid/480x640/O3jbH0l4bVCXU-AQ.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641510427090915328/pu/pl/UdJmYxMIPbUECyuO.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641510427090915328/pu/vid/320x426/Cs4cTTvKd10n9rX_.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=0.651, views=9, altText=None)]",Twitter Web App
2023-03-30 16:17:56+00:00,1641474853332221952,iop0018,자라닮은풍뎅이🐢,,,"여러분에 안식처 아이스 하이븐 

☠텔 레 문 의 i c e haven ☝

히로뽕 얼음사는곳얼음파는곳 인슐린주사기

떨구매 떨사는곳 떨판매
떨 엑스터시

아이스 엘에디 빙두
케타민 차가운술

#작대기 https://t.co/Zv4Ef2nvfe",0,0,14.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsewqiNacAAsWok?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsewqiNacAAsWok?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 14:35:15+00:00,1641449009985515526,aangkuu,앙쿠♡,,Team 즁빈,"사랑해요 즁빈
나의 안정제 헤로인 코카인 히로뽕 https://t.co/NxvQf1iHus",2,0,618.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FseZLJZaYAAmWTX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseZLJZaYAAmWTX?format=jpg&name=orig', altText=None)]",Twitter for iPhone
2023-03-30 12:58:56+00:00,1641424773648625664,YounSeok,bbaabb,,,"☣ #작대기아이스  ♦
♠ #차가운술 ☁

여러분에 안식처 하이븐

☑텔 레 문 의 i c e haven ♣

히로뽕 서울아이스 서울아이스
작대기사용법 창원아이스

사티바 떨 인디카
 케타민 클럽파티

작대기아이스 작대기뽕 아이스1G
샘플20만 작대기팝니다 https://t.co/RbCGP3C6Ey",0,0,39.0,"['작대기아이스', '차가운술']","[Photo(previewUrl='https://pbs.twimg.com/media/FseDHf6aYAArHUh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseDHf6aYAArHUh?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 09:57:52+00:00,1641379205769478144,das2d88jc,신중철,,,"히로뽕 판매 비밀📧배송⟳구로

뽕사용후기

✅ #불안장애

𝒂𝒕𝒐➍➍➍",0,0,58.0,['불안장애'],,Twitter Web App
2023-03-30 09:20:03+00:00,1641369686830116864,doc0c2f1,정유정,,,"환각제파는곳 히로뽕 사용후기

#홍대 

✅ 비밀📧배송⟳강북

𝒂𝒕𝒐➍➍➍",0,0,102.0,['홍대'],,Twitter Web App
2023-03-30 07:33:05+00:00,1641342768638496769,tylenoljs,박종수,,서울 특별시 성북구 성북 2동 23-7,"감기약에 있는 수도에페드린 반을 넣었고, 그 다음에 건전지 리듐 2, 그 다음에 네가 가, 갖고 온 초, 촉매 있잖아. 메틸아민. 그거 4. 그러면 히로뽕이 완성되는 거야.",0,0,42.0,,,twittbot.net
