date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2022-08-12 12:51:35+00:00,1558073712091361281,worldchampbbang,빵빵,,,"토미 안뇽

민주랑 데이트 알차게 했구나
나도 조만간 데이트 코스를
가볼거야! ㅋㅋ

진짜 맛나 보이더라
토미도 만족했다니깐
기대가 되넹~

그래 내일도 많이 먹엉
웬지... 아니다 ㅎㅎ
누굴 만나서 뭘 먹을지
기대하고 있을게에에에

맛있는 꿈 꿔~
🍞🍑🍇🍊🥰

#히짱메일 #ひいめーる",7,0,,"['히짱메일', 'ひいめーる']",,Twitter Web App
2022-08-12 13:52:59+00:00,1558089162997108736,gogohitomi1,かぬれ🍑,,,"토미야🍊
민주랑 데이트 잘 했어?
파롤앤랑그는 바질토마토가 맛있는데!
다음에 또 가게되면 꼭 먹어봐🥺
나 어글리베이커리 다녀온 날
토미 추천메뉴가 
빽다방 소세지빵이었나그래서 
다같이 놓고 사진찍은 기억이 나네😆
날씨좋은날 휴가로 보낸 것 같아 다행이다💕
내일도 좋은하루보내!
#히짱메일 https://t.co/dlcdjR2Ldw",10,0,,['히짱메일'],"[Photo(previewUrl='https://pbs.twimg.com/media/FZ9x0r3UsAEul0O?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FZ9x0r3UsAEul0O?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FZ9x0-7UUAYoiEu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FZ9x0-7UUAYoiEu?format=jpg&name=orig', altText=None)]",Twitter for Android
2022-08-15 17:04:02+00:00,1559224409864384512,smilero2,로이✨️ロイ🌈,,프리즘 스톤,"프리채널 41화 감상 완료.
모모네 할아버지인 토미 씨가 등장하셨는데
오토바이 여행을 좋아하셔서 집엔 잘 안계신다고 한다..ㅡㅡ?토미이사람이감히애니를두고혼자서띵가띵가여행을해?!!라고극대노하다가뒤에태우고데이트하시는거보고급차분해짐꼭행복하세요💓준이의공포극복과해산물멜틱이귀여웠던화 https://t.co/PoJTwM4uhc",2,3,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FaN5SLOVQAIc-Mj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaN5SLOVQAIc-Mj?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FaN5-s7UcAE8Zod?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaN5-s7UcAE8Zod?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FaN6FB1VQAAk9YE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaN6FB1VQAAk9YE?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FaN6QD9UIAIMzsK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaN6QD9UIAIMzsK?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-08-19 15:22:27+00:00,1560648394179108864,chi_sizu,시즈무,,,"@CHungA1005 예를 들면 그 한동안 난리였던 프로포폴 같은건 혈관에 들어가면 1,2,3하면 마취되요..얼마전 그알에도 나왔던 에토미데이트같은것도요...
일반적으로 수면내시경할때쓰는 미다졸람같은것도 금방 의식잃어요
수건에 적셔서 흡입해서 꼴까닥은 쉽지 않지만 혈관주사는 바로 효과나는거 많아요",0,0,,,,Twitter for Android
2022-08-26 06:37:18+00:00,1563052953879007232,worldchampbbang,빵빵,,,"토미 안뇽

어제 나코랑 나와서
넘넘 좋았지 재미있었어 ㅎㅎ
같이 그렇게 생방 스튜디오에
나오니깐 넘 좋더라고
참 선물은 뭐 준거야?

나코랑 집에서 데이트하는 것도
기대하고 있을게에

오늘도 엄청 바쁜 토미
화이팅이야!!!!

#히짱메일 #ひいめーる",4,0,,"['히짱메일', 'ひいめーる']",,Twitter Web App
2022-08-30 07:26:00+00:00,1564514760967696385,seol_yuha,설유하,,,"#에토미데이트 텔 @RUNA10110
#우유주사
#에토미직거래",0,0,,"['에토미데이트', '우유주사', '에토미직거래']",,Twitter Web App
2022-08-30 07:28:13+00:00,1564515318252183552,seol_yuha,설유하,,,"#우유주사팝니다     텔@RUNA10110
#에토미데이트
#직거래",0,0,,"['우유주사팝니다', '에토미데이트', '직거래']",,Twitter Web App
2022-08-30 15:03:01+00:00,1564629772843773953,tuukkatemonen,🍕,,,머틀리크루 슬래시 술에 쩔어서 반 기절한 거 끌고 와선 턱에 지들 성기 올려놓고 사진 찍은 것도 있고 토미리 전여친 데이트폭력(자니레인 전아내가 폭행당함 그당시 토미리 현 여친? 아내?한테 경고도 했음)에 믹마스 제외하고는 음주운전 여러번 한 전적도 있음,5,3,,,,Twitter for Android
2022-09-02 18:50:19+00:00,1565774136554598400,OLp2I4TAiA1toru,박진휘,,,"My heart has wings, Mmmm, And I can fly / ※◈

#아이스작대기 크리스탈
케이 캔디 판매처

대전 아이스작대기💊

†텔레는 sakura446 검색하세요

아이스시원한술 에토미데이트 ￡

☏🚨※🎒∋ 스타킹 https://t.co/zLptmOKszj",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fbq_BZcUcAUh4Zs?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbq_BZcUcAUh4Zs?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-03 14:02:49+00:00,1566064173859033088,64bK7HGNX4giTYt,민하연,,,"My heart has wings, Mmmm, And I can fly / ●※

#아이스작대기 크리스탈
케이 캔디 판매처

대전 아이스작대기🏑

¶텔레는 sakura446 검색하세요

아이스시원한술 에토미데이트 ↗️

♣◎∑◐🌵 스타킹 https://t.co/I7iTd9nqF7",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbvGy_eVUAEgvQT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbvGy_eVUAEgvQT?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-03 17:29:49+00:00,1566116267651903488,64bK7HGNX4giTYt,민하연,,,"My heart has wings, Mmmm, And I can fly / ♪◎

#아이스작대기 크리스탈
케이 캔디 판매처

대전 아이스작대기😠

🛃텔레는 sakura446 검색하세요

아이스시원한술 에토미데이트 ▤

💫⊂▧🛷↖ 스타킹 https://t.co/ahn6Z17gpc",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fbv2DIMakAA2_hp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbv2DIMakAA2_hp?format=jpg&name=orig', altText=None)]",Twitter Web App
